Lane,Time,Diff From Season's Best
2,20.8,0.18710000000000093
2,20.55,0.6335000000000015
2,21.09,0.06530000000000058
2,20.34,0.4390999999999998
2,20.92,0.5750999999999991
3,21.13,0.370000000000001
3,20.65,0.19440000000000168
3,20.41,0.6309000000000005
3,20.61,0.6214999999999975
3,20.26,0.13000000000000256
3,20.27,0.0884999999999998
3,20.25,0.454699999999999
3,20.99,0.2632999999999974
3,20.31,0.15249999999999986
3,20.14,0.0
3,20.37,0.37200000000000344
3,20.72,0.0
3,20.58,0.3155000000000001
3,20.36,0.04840000000000089
3,20.4,0.2690999999999981
3,20.16,0.15880000000000294
3,20.08,0.23189999999999955
3,19.95,0.0
3,20.3,0.35320000000000107
3,20.87,0.591899999999999
3,20.51,0.39450000000000074
3,20.24,0.12519999999999598
3,20.44,0.3140000000000036
3,20.56,0.040500000000001535
3,20.56,0.35279999999999845
3,20.16,0.23199999999999932
3,20.91,0.17520000000000024
3,20.32,0.08520000000000039
3,20.77,0.3727000000000018
3,22.29,0.21249999999999858
3,21.51,0.1623999999999981
3,20.21,0.13189999999999813
3,21.47,0.0
3,22.64,0.4585000000000008
3,20.51,0.04210000000000136
3,20.68,0.2934999999999981
3,20.13,0.20670000000000144
3,20.22,0.20599999999999952
3,20.36,0.4559999999999995
3,20.48,0.24080000000000368
3,20.91,0.7096000000000018
3,20.47,0.0
3,20.88,0.3819999999999979
3,20.33,0.5502999999999965
3,20.17,0.3672000000000004
3,20.57,0.402000000000001
3,20.63,0.40229999999999677
3,21.0,0.35400000000000276
3,20.47,0.44480000000000075
3,20.88,0.509999999999998
3,20.75,0.129999999999999
3,20.44,0.29200000000000514
3,21.51,0.352800000000002
3,20.53,0.41350000000000264
3,20.74,0.21589999999999776
4,21.18,0.5211000000000006
4,20.62,0.47760000000000247
4,20.26,0.42079999999999984
4,20.59,0.4939999999999998
4,19.97,0.0
4,20.17,0.0
4,20.0,0.1247000000000007
4,20.81,0.17479999999999762
4,20.13,0.029999999999997584
4,20.29,0.12679999999999936
4,20.46,0.0
4,20.23,0.0
4,21.09,0.7968000000000011
4,20.12,0.28010000000000446
4,20.74,0.6074999999999982
4,20.65,0.6288000000000018
4,20.01,0.07530000000000214
4,20.18,0.41320000000000334
4,20.56,0.07879999999999754
4,20.27,0.2697000000000003
4,20.13,0.23199999999999577
4,20.3,0.15080000000000027
4,20.78,0.7148000000000039
4,20.4,0.3733000000000004
4,20.17,0.28200000000000003
4,20.3,0.038100000000003575
4,21.06,0.8034999999999997
4,20.39,0.4067000000000007
4,21.32,0.37329999999999686
4,19.9,0.16189999999999571
4,21.36,0.0
4,23.27,0.3988000000000014
4,20.45,0.19890000000000185
4,20.21,0.007500000000000284
4,20.01,0.10200000000000387
4,20.37,0.3459000000000003
4,20.35,0.0
4,20.18,0.38429999999999964
4,20.3,0.3916000000000004
4,20.78,0.5707000000000022
4,20.27,0.347999999999999
4,20.36,0.0
4,20.58,0.39199999999999946
4,20.39,0.5222999999999978
4,20.43,0.3251999999999988
4,20.07,0.1819999999999986
4,20.56,0.7790999999999961
4,20.83,0.2458999999999989
4,20.24,0.4134999999999991
4,20.98,0.17680000000000007
4,20.14,0.1606999999999985
4,20.71,0.4244000000000021
5,20.85,0.9175000000000004
5,20.17,0.058099999999999596
5,20.17,0.10839999999999961
5,20.65,0.1042999999999985
5,19.97,0.0
5,20.02,0.040399999999998215
5,19.86,0.0
5,21.3,0.13800000000000168
5,19.83,0.0
5,19.85,0.0
5,20.11,0.39199999999999946
5,20.68,0.10290000000000177
5,19.89,0.35190000000000055
